Country,Frequency,Arrivals,Year
Cambodia,Re-visit,151095,2020
Indonesia,Total,96993,2020
Indonesia,First visit,33419,2020
Indonesia,Re-visit,63574,2020
Laos,Total,382246,2020
Laos,First visit,14521,2020
Laos,Re-visit,367725,2020
Malaysia,Total,612922,2020
Malaysia,First visit,164374,2020
Malaysia,Re-visit,448548,2020
Myanmar,Total,54941,2020
Myanmar,First visit,7155,2020
Myanmar,Re-visit,47786,2020
Philippines,Total,68359,2020
Philippines,First visit,22720,2020
Philippines,Re-visit,45639,2020
Singapore,Total,132511,2020
Singapore,First visit,8829,2020
Singapore,Re-visit,123682,2020
Vietnam,Total,131308,2020
Vietnam,First visit,35654,2020
Vietnam,Re-visit,95654,2020
China,Total,1302137,2020
China,First visit,597834,2020
China,Re-visit,704303,2020
HongKong,Total,131988,2020
HongKong,First visit,13072,2020
HongKong,Re-visit,118916,2020
Japan,Total,314044,2020
Japan,First visit,68280,2020
Japan,Re-visit,245764,2020
Korea,Total,262313,2020
Korea,First visit,96148,2020
Korea,Re-visit,166165,2020
Taiwan,Total,114275,2020
Taiwan,First visit,34485,2020
Taiwan,Re-visit,79790,2020
Others in East,Total,15299,2020
Others in East,First visit,3485,2020
Others in East,Re-visit,11814,2020
Austria,Total,34599,2020
Austria,First visit,9558,2020
Austria,Re-visit,25041,2020
Belgium,Total,25872,2020
Belgium,First visit,7203,2020
Belgium,Re-visit,18669,2020
Denmark,Total,62962,2020
Denmark,First visit,14789,2020
Denmark,Re-visit,48173,2020
Finland,Total,57927,2020
Finland,First visit,11029,2020
Finland,Re-visit,46898,2020
France,Total,231614,2020
France,First visit,83802,2020
France,Re-visit,147812,2020
Germany,Total,231260,2020
Germany,First visit,71441,2020
Germany,Re-visit,159819,2020
Ireland,Total,9714,2020
Ireland,First visit,3059,2020
Ireland,Re-visit,6655,2020
Italy,Total,58327,2020
Italy,First visit,19836,2020
Italy,Re-visit,38491,2020
Netherlands,Total,50441,2020
Netherlands,First visit,13876,2020
Netherlands,Re-visit,36565,2020
Norway,Total,39082,2020
