0,Frequency of visit ,No of Arrival by Frequency of purpose,Year,,,
    Finland,First visit,"31,847","2,017",,,
    Finland,Re-visit,"107,079","2,017",,,
    France,Total,"693,426","2,017",,,
    France,First visit,"253,539","2,017",,,
    France,Re-visit,"439,887","2,017",,,
    Germany,Total,"837,318","2,017",,,
    Germany,First visit,"278,547","2,017",,,
    Germany,Re-visit,"558,771","2,017",,,
    Ireland,Total,"59,500","2,017",,,
    Ireland,First visit,"19,659","2,017",,,
    Ireland,Re-visit,"39,841","2,017",,,
    Italy,Total,"244,982","2,017",,,
    Italy,First visit,"95,853","2,017",,,
    Italy,Re-visit,"149,129","2,017",,,
    Netherlands,Total,"215,433","2,017",,,
    Netherlands,First visit,"70,718","2,017",,,
    Netherlands,Re-visit,"144,715","2,017",,,
    Norway,Total,"130,200","2,017",,,
    Norway,First visit,"28,193","2,017",,,
    Norway,Re-visit,"102,007","2,017",,,
    Russian,Total,"1,340,376","2,017",,,
    Russian,First visit,"452,312","2,017",,,
    Russian,Re-visit,"888,064","2,017",,,
    Spain,Total,"178,954","2,017",,,
    Spain,First visit,"96,956","2,017",,,
    Spain,Re-visit,"81,998","2,017",,,
    Sweden,Total,"317,797","2,017",,,
    Sweden,First visit,"67,760","2,017",,,
    Sweden,Re-visit,"250,037","2,017",,,
    Switzerland,Total,"227,152","2,017",,,
    Switzerland,First visit,"55,825","2,017",,,
    Switzerland,Re-visit,"171,327","2,017",,,
    United Kingdom,Total,"945,061","2,017",,,
    United Kingdom,First visit,"261,636","2,017",,,
    United Kingdom,Re-visit,"683,425","2,017",,,
    East Europe,Total,"445,521","2,017",,,
    East Europe,First visit,"199,409","2,017",,,
    East Europe,Re-visit,"246,112","2,017",,,
    Others in Europe,Total,"172,742","2,017",,,
    Others in Europe,First visit,"74,643","2,017",,,
    Others in Europe,Re-visit,"98,099","2,017",,,
    Argentina,Total,"28,983","2,017",,,
    Argentina,First visit,"33,755","2,017",,,
    Argentina,Re-visit,"62,738","2,017",,,
    Brazil,Total,"31,995","2,017",,,
    Brazil,First visit,"39,354","2,017",,,
    Brazil,Re-visit,"71,349","2,017",,,
    Canada,Total,"74,778","2,017",,,
    Canada,First visit,"152,291","2,017",,,
    Canada,Re-visit,"227,069","2,017",,,
USA,Total,"337,341","2,017",,,
USA,First visit,"669,598","2,017",,,
USA,Re-visit,"1,006,939","2,017",,,
    Others in America,Total,"36,645","2,017",,,
    Others in America,First visit,"44,154","2,017",,,
    Others in America,Re-visit,"80,799","2,017",,,
    Bangladesh,Total,"32,735","2,017",,,
    Bangladesh,First visit,"92,845","2,017",,,
    Bangladesh,Re-visit,"125,580","2,017",,,
    India,Total,"536,336","2,017",,,
    India,First visit,"745,345","2,017",,,
    India,Re-visit,"1,281,681","2,017",,,
    Nepal,Total,"17,096","2,017",,,
    Nepal,First visit,"26,686","2,017",,,
    Nepal,Re-visit,"43,782","2,017",,,
    Pakistan,Total,"25,066","2,017",,,
    Pakistan,First visit,"51,718","2,017",,,
    Pakistan,Re-visit,"76,784","2,017",,,
    Sri Lanka,Total,"20,989","2,017",,,
    Sri Lanka,First visit,"42,397","2,017",,,
    Sri Lanka,Re-visit,"63,386","2,017",,,
    Others in Asia,Total,"8,313","2,017",,,
    Others in Asia,First visit,"40,002","2,017",,,
    Others in Asia,Re-visit,"48,315","2,017",,,
    Australia,Total,"216,473","2,017",,,
    Australia,First visit,"621,012","2,017",,,
    Australia,Re-visit,"837,485","2,017",,,
    New Zealand,Total,"30,563","2,017",,,
    New Zealand,First visit,"71,765","2,017",,,
    New Zealand,Re-visit,"102,328","2,017",,,
    Others in Oceania,Total,"2,739","2,017",,,
    Others in Oceania,First visit,"5,225","2,017",,,
    Others in Oceania,Re-visit,"7,964","2,017",,,
    Egypt,Total,"7,821","2,017",,,
    Egypt,First visit,"11,909","2,017",,,
    Egypt,Re-visit,"19,730","2,017",,,
    Israel,Total,"57,764","2,017",,,
    Israel,First visit,"117,051","2,017",,,
    Israel,Re-visit,"174,815","2,017",,,
    Kuwait,Total,"17,284","2,017",,,
    Kuwait,First visit,"63,611","2,017",,,
    Kuwait,Re-visit,"80,895","2,017",,,
    Saudi Arabia,Total,"17,704","2,017",,,
    Saudi Arabia,First visit,"24,906","2,017",,,
    Saudi Arabia,Re-visit,"42,610","2,017",,,
    United Arab Emirates,Total,"47,285","2,017",,,
